사용월,호선명,역ID,지하철역,04:00:00~04:59:59,,05:00:00~05:59:59,,06:00:00~06:59:59,,07:00:00~07:59:59,,08:00:00~08:59:59,,09:00:00~09:59:59,,10:00:00~10:59:59,,11:00:00~11:59:59,,12:00:00~12:59:59,,13:00:00~13:59:59,,14:00:00~14:59:59,,15:00:00~15:59:59,,16:00:00~16:59:59,,17:00:00~17:59:59,,18:00:00~18:59:59,,19:00:00~19:59:59,,20:00:00~20:59:59,,21:00:00~21:59:59,,22:00:00~22:59:59,,23:00:00~23:59:59,,00:00:00~00:59:59,,01:00:00~01:59:59,,02:00:00~02:59:59,,03:00:00~03:59:59,,작업일시
,,,,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,승차,하차,
2025-03,1호선,0150,서울역,672,53,"10,025","9,052","26,032","57,132","86,883","123,684","143,737","247,797","113,291","171,834","102,970","101,836","114,624","98,072","129,046","107,448","123,079","105,198","109,968","102,172","142,017","116,119","155,142","123,026","224,250","147,161","258,374","167,759","146,297","118,386","105,690","85,808","109,022","79,852","72,193","55,517","36,881","28,364","3,694","8,024",7,178,0,0,0,0,2025-04-03 10:13:54
2025-03,1호선,0151,시청,86,1,"1,997","5,455","3,779","25,804","7,720","74,701","11,314","200,167","14,188","92,108","16,166","50,716","20,929","54,949","24,735","60,274","35,057","67,318","52,476","53,296","68,946","37,916","84,969","29,936","113,670","29,450","168,241","26,375","68,103","14,680","59,765","9,747","51,204","8,940","30,091","6,282","9,895","3,996",498,"1,158",1,35,0,1,0,0,2025-04-03 10:13:54
2025-03,1호선,0152,종각,141,2,"4,180","6,021","4,437","34,064","7,104","115,139","10,725","266,675","14,121","147,969","19,623","63,030","29,170","65,201","34,951","61,950","45,859","65,784","63,608","54,757","78,728","50,818","97,364","49,607","168,100","53,785","228,342","53,144","115,665","27,776","110,485","15,161","98,819","10,583","63,949","7,445","26,425","4,664","1,796","1,353",0,0,0,0,0,0,2025-04-03 10:13:54
2025-03,1호선,0153,종로3가,207,20,"3,687","2,495","4,045","11,669","5,769","26,192","9,993","65,805","15,492","63,964","22,747","57,540","32,716","73,006","47,103","73,880","51,616","67,297","64,679","58,930","73,883","51,477","82,835","48,495","96,394","45,169","100,356","43,308","70,315","23,029","60,452","13,722","55,627","10,508","39,395","7,968","17,254","5,468","1,550","2,286",1,43,0,0,0,0,2025-04-03 10:13:54
2025-03,1호선,0154,종로5가,26,0,"2,044","3,461","3,009","15,760","5,834","40,194","10,932","88,880","15,505","64,218","25,357","60,707","36,367","66,123","46,154","60,889","54,339","56,873","64,966","54,139","68,714","47,320","74,216","42,108","91,005","38,193","93,417","34,652","55,812","21,303","39,794","12,934","34,065","9,059","20,880","6,475","6,010","4,064",428,"1,125",0,0,0,0,0,0,2025-04-03 10:13:54
2025-03,1호선,0155,동대문,551,17,"11,164","1,862","9,327","6,671","17,135","11,777","22,194","20,696","21,800","22,652","19,393","24,877","20,419","29,536","24,430","29,321","27,393","27,712","30,689","26,549","30,933","26,049","30,637","25,146","29,002","24,908","26,885","25,140","20,635","24,186","18,028","17,082","15,728","16,150","12,205","15,212","6,150","10,066","1,041","3,207",5,305,0,0,0,0,2025-04-03 10:13:53
2025-03,1호선,0156,신설동,393,14,"9,035","2,193","9,588","8,404","22,160","25,628","33,587","54,696","22,536","32,454","21,182","23,150","22,406","20,924","25,077","20,627","26,126","21,833","25,785","20,702","27,305","22,474","31,501","24,534","44,132","27,075","54,125","32,791","22,242","24,493","15,387","18,013","13,853","17,181","9,665","14,519","4,096","9,287",461,"2,796",0,0,0,0,0,0,2025-04-03 10:13:54
2025-03,1호선,0157,제기동,318,4,"5,360","2,298","8,886","9,937","22,627","20,426","32,495","37,507","23,071","31,687","24,903","37,992","32,407","49,281","39,143","51,671","43,216","52,442","49,145","49,655","52,943","40,817","51,666","36,774","46,644","30,673","40,635","28,118","22,361","19,617","14,744","13,211","9,430","12,457","5,798","10,395","2,560","6,369",209,"1,521",0,2,0,0,0,0,2025-04-03 10:13:53
2025-03,1호선,0158,청량리(서울시립대입구),985,11,"10,222","2,822","17,709","10,263","49,787","17,258","59,152","41,097","38,064","38,597","34,394","40,269","41,227","49,710","47,659","51,151","51,684","53,620","55,384","55,284","59,761","53,056","60,867","52,457","56,627","54,952","49,741","62,968","29,638","41,019","22,531","26,939","17,575","25,152","11,399","21,022","4,676","12,359",369,"3,757",2,4,0,0,0,0,2025-04-03 10:13:54
